SampleID	Group	Site	LB
G61c	G61	Guizhou	D
G61d	G61	Guizhou	D
G61e	G61	Guizhou	D
G62a	G62	Guizhou	D
G62b	G62	Guizhou	D
G62c	G62	Guizhou	D
G62d	G62	Guizhou	D
G62e	G62	Guizhou	D
G63a	G63	Guizhou	D
G63b	G63	Guizhou	D
G63c	G63	Guizhou	D
G63d	G63	Guizhou	D
G63e	G63	Guizhou	D
G64a	G64	Guizhou	U
G64b	G64	Guizhou	U
G64c	G64	Guizhou	U
G64d	G64	Guizhou	U
G64e	G64	Guizhou	U
G65a	G65	Guizhou	D
G65b	G65	Guizhou	D
G65c	G65	Guizhou	D
G65d	G65	Guizhou	D
G65e	G65	Guizhou	D
G66a	G66	Guizhou	D
G66b	G66	Guizhou	D
G66c	G66	Guizhou	D
G66d	G66	Guizhou	D
G66e	G66	Guizhou	D
G67a	G67	Guizhou	D
G67b	G67	Guizhou	D
G67c	G67	Guizhou	D
G67d	G67	Guizhou	D
G67e	G67	Guizhou	D
G68a	G68	Guizhou	D
G68b	G68	Guizhou	D
G68c	G68	Guizhou	D
G68d	G68	Guizhou	D
G68e	G68	Guizhou	D
G69a	G69	Guizhou	D
G69b	G69	Guizhou	D
G69c	G69	Guizhou	D
G69d	G69	Guizhou	D
G69e	G69	Guizhou	D
G6a	G6	Yunnan	U
G6b	G6	Yunnan	U
G6c	G6	Yunnan	U
G6d	G6	Yunnan	U
G6e	G6	Yunnan	U
G70a	G70	Guizhou	U
G70b	G70	Guizhou	U
G70c	G70	Guizhou	U
G70d	G70	Guizhou	U
G70e	G70	Guizhou	U
G71a	G71	Guizhou	D
G71b	G71	Guizhou	D
G71c	G71	Guizhou	D
G71d	G71	Guizhou	D
G71e	G71	Guizhou	D
G72a	G72	Guizhou	D
G72b	G72	Guizhou	D
G72c	G72	Guizhou	D
G72d	G72	Guizhou	D
G72e	G72	Guizhou	D
G73a	G73	Guizhou	D
G73b	G73	Guizhou	D
G73c	G73	Guizhou	D
G73d	G73	Guizhou	D
G73e	G73	Guizhou	D
G76a	G76	Guizhou	D
G76b	G76	Guizhou	D
G76c	G76	Guizhou	D
G76d	G76	Guizhou	D
G76e	G76	Guizhou	D
G77a	G77	Guizhou	D
G77b	G77	Guizhou	D
G77c	G77	Guizhou	D
G77d	G77	Guizhou	D
G77e	G77	Guizhou	D
G78a	G78	Guizhou	D
G78b	G78	Guizhou	D
G78c	G78	Guizhou	D
G78d	G78	Guizhou	D
G78e	G78	Guizhou	D
G79a	G79	Guizhou	D
G79b	G79	Guizhou	D
G79c	G79	Guizhou	D
G79d	G79	Guizhou	D
G79e	G79	Guizhou	D
G7a	G7	Yunnan	U
G7b	G7	Yunnan	U
G7c	G7	Yunnan	U
G7d	G7	Yunnan	U
G7e	G7	Yunnan	U
G80a	G80	Guizhou	D
G80b	G80	Guizhou	D
G80c	G80	Guizhou	D
G80d	G80	Guizhou	D
G80e	G80	Guizhou	D
G81a	G81	Guizhou	D
G81b	G81	Guizhou	D
G81c	G81	Guizhou	D
G81d	G81	Guizhou	D
G81e	G81	Guizhou	D
G82a	G82	Guizhou	D
G82b	G82	Guizhou	D
G82c	G82	Guizhou	D
G82d	G82	Guizhou	D
G82e	G82	Guizhou	D
G83a	G83	Guizhou	U
G83b	G83	Guizhou	U
G83c	G83	Guizhou	U
G83d	G83	Guizhou	U
G83e	G83	Guizhou	U
G84a	G84	Guizhou	D
G84b	G84	Guizhou	D
G84c	G84	Guizhou	D
G84d	G84	Guizhou	D
G84e	G84	Guizhou	D
G85a	G85	Guizhou	D
G85b	G85	Guizhou	D
G85c	G85	Guizhou	D
G85d	G85	Guizhou	D
G85e	G85	Guizhou	D
G86a	G86	Guizhou	D
G86b	G86	Guizhou	D
G86c	G86	Guizhou	D
G86d	G86	Guizhou	D
G86e	G86	Guizhou	D
G87a	G87	Guizhou	D
G87b	G87	Guizhou	D
G87c	G87	Guizhou	D
G87d	G87	Guizhou	D
G87e	G87	Guizhou	D
G88a	G88	Guizhou	D
G88b	G88	Guizhou	D
G88c	G88	Guizhou	D
G88d	G88	Guizhou	D
G88e	G88	Guizhou	D
G89a	G89	Guizhou	D
G89b	G89	Guizhou	D
G89c	G89	Guizhou	D
G89d	G89	Guizhou	D
G89e	G89	Guizhou	D
G8a	G8	Yunnan	U
G8b	G8	Yunnan	U
G8c	G8	Yunnan	U
G8d	G8	Yunnan	U
G8e	G8	Yunnan	U
G90a	G90	Guizhou	D
G90b	G90	Guizhou	D
G90c	G90	Guizhou	D
G90d	G90	Guizhou	D
G90e	G90	Guizhou	D
G91a	G91	Guizhou	U
G91b	G91	Guizhou	U
G91c	G91	Guizhou	U
G91d	G91	Guizhou	U
G91e	G91	Guizhou	U
G95a	G95	Guizhou	D
G95b	G95	Guizhou	D
G95c	G95	Guizhou	D
G95d	G95	Guizhou	D
G95e	G95	Guizhou	D
G96a	G96	Guizhou	D
G96b	G96	Guizhou	D
G96c	G96	Guizhou	D
G96d	G96	Guizhou	D
G96e	G96	Guizhou	D
G97a	G97	Guizhou	D
G97b	G97	Guizhou	D
G97c	G97	Guizhou	D
G97d	G97	Guizhou	D
G97e	G97	Guizhou	D
G99a	G99	Guizhou	D
G99b	G99	Guizhou	D
G99c	G99	Guizhou	D
G99d	G99	Guizhou	D
G99e	G99	Guizhou	D
G9a	G9	Yunnan	U
G9b	G9	Yunnan	U
G9c	G9	Yunnan	U
G9d	G9	Yunnan	U
G9e	G9	Yunnan	U
